species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Leucas decemdentata,Bramley et al. FM,1.5,0.5,Java
Leucas decemdentata,Bramley et al. FM,1.5,0.5,Lesser Sundas
Leucas decemdentata,Bramley et al. FM,1.5,0.5,Maluku
Leucas decemdentata,Bramley et al. FM,1.5,0.5,New Guinea
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Sumatra
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Borneo
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Java
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Philippines
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Sulawesi
Leucas lavandulifolia,Bramley et al. FM,2.5,1,Maluku
Leucas lavandulifolia,Bramley et al. FM,2.5,1,New Guinea
Leucas zeylanica,Bramley et al. FM,3,1,Sumatra
Leucas zeylanica,Bramley et al. FM,3,1,Borneo
Leucas zeylanica,Bramley et al. FM,3,1,Java
Leucas zeylanica,Bramley et al. FM,3,1,Philippines
Leucas zeylanica,Bramley et al. FM,3,1,Lesser Sundas
Leucas zeylanica,Bramley et al. FM,3,1,Maluku
Leucas zeylanica,Bramley et al. FM,3,1,New Guinea
Melissa axillaris,Bramley et al. FM,8,2,Sumatra
Melissa axillaris,Bramley et al. FM,8,2,Java
Mentha canadensis,Bramley et al. FM,1,1,Java
Mentha canadensis,Bramley et al. FM,1,1,Philippines
Mentha canadensis,Bramley et al. FM,1,1,Sulawesi
Mentha canadensis,Bramley et al. FM,1,1,Lesser Sundas
Mentha canadensis,Bramley et al. FM,1,1,Maluku
Microtoena insuavis,Bramley et al. FM,1.5,1,Sumatra
Microtoena insuavis,Bramley et al. FM,1.5,1,Java
Microtoena insuavis,Bramley et al. FM,1.5,1,Lesser Sundas
Mosla dianthera,Bramley et al. FM,1,1,Sumatra
Mosla dianthera,Bramley et al. FM,1,1,Philippines
Orthosiphon thymiflorus,Bramley et al. FM,1.2,1,Java
Oxera amicorum,Bramley et al. FM,40,9,New Guinea
Oxera splendida,Bramley et al. FM,60,18,Maluku
Oxera splendida,Bramley et al. FM,60,18,New Guinea
Paraphlomis javanica,Bramley et al. FM,6,2,Sumatra
Paraphlomis javanica,Bramley et al. FM,6,2,Java
Paraphlomis javanica,Bramley et al. FM,6,2,Borneo
Paraphlomis javanica,Bramley et al. FM,6,2,Philippines
Paraphlomis oblongifolia,Bramley et al. FM,8,3.5,Sumatra
Paraphlomis oblongifolia,Bramley et al. FM,8,3.5,Java
Paraphlomis oblongifolia,Bramley et al. FM,8,3.5,Sulawesi
Peronema canescens,Bramley et al. FM,3.5,3,Sumatra
Peronema canescens,Bramley et al. FM,3.5,3,Borneo
Petraeovitex bambusetorum,Bramley et al. FM,8,3,Borneo
Petraeovitex kinabaluensis,Bramley et al. FM,10,3,Borneo
Petraeovitex membranacea,Bramley et al. FM,9,3,Borneo
Petraeovitex multiflora,Bramley et al. FM,1.5,1.5,Maluku
Petraeovitex multiflora,Bramley et al. FM,1.5,1.5,New Guinea
Petraeovitex sumatrana,Bramley et al. FM,3,1,Sumatra
Petraeovitex sumatrana,Bramley et al. FM,3,1,Borneo
Petraeovitex sumatrana,Bramley et al. FM,3,1,Maluku
Petraeovitex trifoliata,Bramley et al. FM,7,5,Borneo
Petraeovitex trifoliata,Bramley et al. FM,7,5,Philippines
Platostoma clausum,Bramley et al. FM,1,1,Philippines
Platostoma cochinchinense,Bramley et al. FM,1,1,Sumatra
Platostoma longicorne,Bramley et al. FM,1,1,New Guinea
Platostoma palustre,Bramley et al. FM,1.5,1,Sumatra
Platostoma palustre,Bramley et al. FM,1.5,1,Java
Platostoma palustre,Bramley et al. FM,1.5,1,Philippines
Platostoma palustre,Bramley et al. FM,1.5,1,Sulawesi
Platostoma palustre,Bramley et al. FM,1.5,1,Lesser Sundas
Platostoma palustre,Bramley et al. FM,1.5,1,New Guinea
Plectranthus congestus,Bramley et al. FM,0.8,0.8,Lesser Sundas
Plectranthus congestus,Bramley et al. FM,0.8,0.8,New Guinea
Plectranthus galeatus,Bramley et al. FM,1,1,Sumatra
Plectranthus galeatus,Bramley et al. FM,1,1,Java
Plectranthus galeatus,Bramley et al. FM,1,1,Borneo
Plectranthus galeatus,Bramley et al. FM,1,1,Philippines
Plectranthus galeatus,Bramley et al. FM,1,1,Lesser Sundas
Plectranthus parviflorus,Bramley et al. FM,0.8,0.8,Lesser Sundas
Plectranthus petraeus,Bramley et al. FM,1,1,Java
Plectranthus steenisii,Bramley et al. FM,1.2,1.2,Java
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Sumatra
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Borneo
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Philippines
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Java
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Sulawesi
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,Maluku
Pogostemon auricularius,Bramley et al. FM,0.6,0.4,New Guinea
Pogostemon menthoides,Bramley et al. FM,0.6,0.5,Java
Pogostemon menthoides,Bramley et al. FM,0.6,0.5,Borneo
Pogostemon menthoides,Bramley et al. FM,0.6,0.5,Philippines
Pogostemon menthoides,Bramley et al. FM,0.6,0.5,Lesser Sundas
Pogostemon philippinensis,Bramley et al. FM,0.7,0.6,Philippines
Pogostemon reticulatus,Bramley et al. FM,0.75,0.5,Philippines
Pogostemon velatus,Bramley et al. FM,0.6,0.5,Philippines
Premna clavata,Bramley et al. FM,6,4,Borneo
Premna herbacea,Bramley et al. FM,8,4,Philippines
Premna herbacea,Bramley et al. FM,8,4,New Guinea
Premna oblongata,Bramley et al. FM,4,2.5,Sumatra
Premna oblongata,Bramley et al. FM,4,2.5,Java
Premna oblongata,Bramley et al. FM,4,2.5,Borneo
Premna oblongata,Bramley et al. FM,4,2.5,Philippines
Premna oblongata,Bramley et al. FM,4,2.5,Sulawesi
Premna odorata,Bramley et al. FM,5,3,Sumatra
Premna odorata,Bramley et al. FM,5,3,Borneo
Premna odorata,Bramley et al. FM,5,3,Java
Premna odorata,Bramley et al. FM,5,3,Philippines
Premna odorata,Bramley et al. FM,5,3,Lesser Sundas
Premna odorata,Bramley et al. FM,5,3,Maluku
Premna odorata,Bramley et al. FM,5,3,New Guinea
Premna pallescens,Bramley et al. FM,4.5,1.5,Borneo
Premna parasitica,Bramley et al. FM,4,1.5,Java
Premna parasitica,Bramley et al. FM,4,1.5,Lesser Sundas
Premna pubescens,Bramley et al. FM,5,4,Sumatra
Premna pubescens,Bramley et al. FM,5,4,Java
